date,pm25,pm10,no2,so2,co
2021/4/8, 40, 27, 15, 1, 
2021/4/9, 75, 29, 12, 11, 
2021/4/10, 59, 5, 4, 1, 
2021/4/11, 14, 25, 5, , 
2021/4/12, 49, 34, 8, 12, 
2021/4/13, 69, 22, 8, , 
2021/4/14, 54, 5, 4, , 
2021/4/15, 11, 12, 8, , 
2021/4/16, 20, 17, 6, , 
2021/4/17, 24, 17, 6, 8, 
2021/4/18, 46, 16, 11, 3, 
2021/4/19, 41, 152, 17, , 
2021/4/20, 126, 30, 12, , 
2021/4/21, 45, 12, 4, , 
2021/4/22, 19, 17, 5, , 
2021/4/23, 28, 15, 3, , 
2021/4/24, 33, 13, 4, , 
2021/4/25, 32, 29, 11, 3, 
2021/4/26, 77, 38, 17, 1, 
2021/4/27, 68, 27, 8, , 
2021/4/28, 85, 31, 14, 14, 
2021/4/29, 73, 30, 14, 4, 
2021/4/30, 84, 14, 5, , 
2021/5/1, 48, 8, 3, , 
2021/5/2, 42, 20, 9, , 
2021/5/3, 80, 31, 13, 1, 
2021/5/4, 85, 17, 9, 1, 
2021/5/5, 55, 14, 7, 1, 
2021/5/6, 58, 13, 7, 1, 
2021/5/7, 46, 11, 4, , 
2021/5/8, 47, 23, 3, , 
2021/5/9, 84, 14, 7, , 
2021/5/10, 51, 13, 9, 1, 
2021/5/11, 46, 16, 16, 3, 
2021/5/12, 51, 10, 6, 2, 
2021/5/13, 27, 10, 5, 2, 
2021/5/14, 35, 25, 6, 1, 
2021/5/15, 46, 11, 3, , 
2021/5/16, 39, 8, 5, , 
2021/5/17, 32, 11, 9, 1, 
2021/5/18, 36, 12, 9, 6, 
2021/5/19, 36, 21, 13, 17, 
2021/5/20, 68, 16, 8, 4, 
2021/5/21, 62, 9, 2, 4, 
2021/5/22, 33, 9, 7, 1, 
2021/5/23, 30, 8, 3, 1, 
2021/5/24, 15, 17, 4, , 
2021/5/25, 55, 42, 3, , 
2021/5/26, 80, 62, 4, 1, 
2021/5/27, 83, 54, 4, , 
2021/5/28, 119, 15, 3, , 
2021/5/29, 25, 7, 5, , 
2021/5/30, 19, 9, 4, , 
2021/5/31, 27, 9, 6, , 
2021/6/1, 37, 10, 13, 3, 
2021/6/2, 40, 32, 5, , 
2021/6/3, 53, 12, 6, , 
2021/6/4, 19, 8, 4, , 
2021/6/5, 10, 6, 2, , 
2021/6/6, 10, 9, 12, 2, 
2021/6/7, 20, 16, 13, 2, 
2021/6/8, 45, 10, 6, 2, 
2021/6/9, 28, 7, 6, , 
2021/6/10, 12, 13, 7, 1, 
2021/6/11, 70, 11, 3, , 
2021/6/12, 29, 4, 2, , 
2021/6/13, 10, 7, 7, 1, 
2021/6/14, 32, 10, 4, , 
2021/6/15, 56, 15, 9, 1, 
2021/6/16, 56, 7, 4, 1, 
2021/6/17, 26, 9, 10, 5, 
2021/6/18, 32, 10, 4, 3, 
2021/6/19, 30, 8, 3, 1, 
2021/6/20, 20, 6, 5, 1, 
2021/6/21, 10, 11, 13, 1, 
2021/6/22, 16, 9, 8, 1, 
2021/6/23, 33, 11, 13, 2, 
2021/6/24, 33, 10, 7, 1, 
2021/6/25, 22, 23, 5, 6, 
2021/6/26, 43, 18, 6, 24, 
2021/6/27, 41, 13, 12, 1, 
2021/6/28, 31, 11, 6, 1, 
2021/6/29, 30, 11, 10, 8, 
2021/6/30, 19, 9, 14, 1, 
2021/1/4, 60, 12, 33, 3, 
2021/1/5, 24, 17, 13, 3, 
2021/1/6, 103, 29, 20, 3, 
2021/1/7, 57, 11, 12, 3, 
2021/1/8, 19, 23, 15, 3, 
2021/1/9, 54, 10, 31, 3, 
2021/1/10, 24, 11, 42, 4, 
2021/1/11, 24, 8, 8, 3, 
2021/1/12, 29, 5, 9, 3, 
2021/1/13, 12, 11, 11, 3, 
2021/1/14, 13, 6, 7, 3, 
2021/1/15, 10, 5, 8, 3, 
2021/1/16, 10, 8, 9, 3, 
2021/1/17, 10, 5, 9, 3, 
2021/1/18, 12, 14, 9, 3, 
2021/1/19, 38, 35, 17, 3, 
2021/1/20, 80, 27, 9, 3, 
2021/1/21, 70, 46, 9, 3, 
2021/1/22, 84, 24, 6, 3, 
2021/1/23, 82, 16, 7, 3, 
2021/1/24, 42, 58, 8, 3, 
2021/1/25, 139, 51, 8, 3, 
2021/1/26, 165, 18, 8, 3, 
2021/1/27, 71, 27, 20, 3, 
2021/1/28, 59, 17, 27, 4, 
2021/1/29, 35, 12, 17, 4, 
2021/1/30, 20, 6, 5, 3, 
2021/1/31, 16, 13, 9, 3, 
2021/2/1, 233, 154, 5, 3, 
2021/2/2, 53, 17, 5, 3, 
2021/2/3, 49, 20, 6, 3, 
2021/2/4, 61, 12, 6, 3, 
2021/2/5, 43, 13, 4, 3, 
2021/2/6, 48, 8, 4, 3, 
2021/2/7, 31, 11, 5, 3, 
2021/2/8, 33, 22, 11, 3, 
2021/2/9, 48, 9, 12, 3, 
2021/2/10, 13, 7, 8, 3, 
2021/2/11, 11, 9, 5, 3, 
2021/2/12, 20, 7, 5, 3, 
2021/2/13, 33, 5, 5, 3, 
2021/2/14, 17, 5, 9, 3, 
2021/2/15, 12, 8, 19, 3, 
2021/2/16, 14, 11, 25, 4, 
2021/2/17, 25, 8, 21, 3, 
2021/2/18, 16, 27, 20, 3, 
2021/2/19, 72, 15, 18, 3, 
2021/2/20, 28, 12, 17, 3, 
2021/2/21, 15, 8, 21, 3, 
2021/2/22, 13, 10, 11, 3, 
2021/2/23, 35, 36, 39, 4, 
2021/2/24, 73, 10, 19, 3, 
2021/2/25, 20, 12, 11, 3, 
2021/2/26, 19, 15, 6, 3, 
2021/2/27, 26, 14, 8, 4, 
2021/2/28, 25, 22, 20, 4, 
2021/3/1, 27, 8, 11, 3, 
2021/3/2, 10, 7, 6, 3, 
2021/3/3, 11, 19, 10, 3, 
2021/3/4, 25, 20, 8, 3, 
2021/3/5, 18, 31, 13, 3, 
2021/3/6, 70, 15, 9, 3, 
2021/3/7, 28, 18, 16, 3, 
2021/3/8, 51, 16, 17, 3, 
2021/3/9, 49, 7, 11, 3, 
2021/3/10, 9, 13, 9, 3, 
2021/3/11, 37, 32, 13, 3, 
2021/3/12, 77, 42, 15, 3, 
2021/3/13, 93, 40, 12, 4, 
2021/3/14, 81, 6, 5, 3, 
2021/3/15, 12, 14, 10, 4, 
2021/3/16, 14, 9, 8, 3, 
2021/3/17, 14, 7, 9, 3, 
2021/3/18, 12, 7, 11, 3, 
2021/3/19, 17, 11, 12, 3, 
2021/3/20, 15, 15, 5, , 
2021/3/21, 16, 13, 13, 10, 
2021/3/22, 29, 14, 14, 19, 
2021/3/23, 19, 15, 19, 4, 
2021/3/24, 27, 13, 13, 1, 
2021/3/25, 25, 17, 10, , 
2021/3/26, 51, 34, 5, , 
2021/3/27, 102, 7, 7, , 
2021/3/28, 9, 19, 9, , 
2021/3/29, 47, 36, 14, , 
2021/3/30, 84, 41, 23, 3, 
2021/3/31, 79, 19, 10, , 
2020/10/1, 10, 8, 13, 2, 
2020/10/2, 9, 10, 18, 2, 
2020/10/3, 8, 7, 14, 2, 
2020/10/4, 9, 13, 19, 3, 
2020/10/5, 9, 6, 20, 2, 
2020/10/6, 8, 6, 17, 2, 
2020/10/7, 7, 7, 15, 2, 
2020/10/8, 7, 9, 10, 2, 
2020/10/9, 9, 14, 18, 3, 
2020/10/10, 13, 10, 13, 2, 
2020/10/11, 20, 10, 15, 2, 
2020/10/12, 19, 4, 12, 2, 
2020/10/13, 6, 5, 10, 2, 
2020/10/14, 11, 9, 11, 2, 
2020/10/15, 14, 20, 16, 2, 
2020/10/16, 15, 14, 17, 3, 
2020/10/17, 10, 9, 10, 2, 
2020/10/18, 17, 20, 16, 2, 
2020/10/19, 10, 25, 19, 3, 
2020/10/20, 11, 9, 15, 2, 
2020/10/21, 6, 4, 12, 2, 
2020/10/22, 3, 17, 12, 2, 
2020/10/23, 15, 9, 11, 2, 
2020/10/24, 7, 13, 10, 2, 
2020/10/25, 13, 8, 15, 2, 
2020/10/26, 6, 26, 10, 2, 
2020/10/27, 14, 50, 10, 2, 
2020/10/28, 33, 39, 12, 2, 
2020/10/29, 26, 6, 11, 2, 
2020/10/30, 8, 8, 11, 2, 
2020/10/31, 14, 6, 11, 2, 
2020/11/1, 7, 8, 15, 2, 
2020/11/2, 9, 16, 14, 2, 
