date,pm25,pm10,no2,so2,co,AQI
2020-12-08, 9, 9, 17, 3, , 9
2020-12-09, 21, 3, 12, 3, , 3
2020-12-10, 12, 5, 9, 2, , 9
2020-12-11, 29, 4, 9, 3, , 9
2020-12-12, 166, 6, 8, 3, , 8
2020-12-16, 137, 36, 22, 3, , 36
2020-12-17, 520, 14, 10, 3, , 520
2020-12-18, 37, 23, 23, 4, , 4
2020-12-19, 70, 15, 10, 3, , 70
2020-12-20, 43, 39, 21, 3, , 43
2020-12-21, 89, 35, 24, 3, , 89
2020-12-22, 66, 12, 30, 4, , 66
2020-12-23, 19, 5, 8, 3, , 8
2020-12-24, 9, 12, 5, 3, , 9
2020-12-25, 38, 8, 17, 3, , 8
2020-12-26, 17, 9, 5, 3, , 9
2020-12-27, 15, 10, 9, 3, , 9
2020-12-28, 27, 12, 24, 3, , 3
2020-12-29, 22, 10, 35, 3, , 35
2020-12-30, 20, 18, 22, 4, , 4
2020-12-31, 237, 69, 15, 4, , 69
2021-01-01, 601, 4, 7, 3, , 7
2021-01-02, 282, 4, 5, 3, , 5
2021-01-03, 184, 13, 13, 4, , 4
2020-08-03, 11, 7, 3, 1, , 7
2020-08-04, 14, 6, 2, 1, , 6
2020-08-05, 9, 7, 2, 1, , 9
2020-08-06, 10, 8, 5, 1, , 8
2020-08-07, 12, 7, 2, 2, , 7
2020-08-08, 9, 3, , 2, , 9
2020-08-09, 4, 5, 1, 2, , 5
2020-08-10, 4, 5, 2, 2, , 5
2020-08-11, 6, 10, 6, 2, , 6
2020-08-12, 13, 8, 6, 2, , 8
2020-08-13, 12, 12, 5, 2, , 5
2020-08-14, 19, 5, 2, 2, , 5
2020-08-15, 5, 7, 1, 2, , 7
2020-08-16, 11, 11, 4, 2, , 4
2020-08-17, 15, 14, 6, 2, , 6
2020-08-18, 29, 9, 8, 2, , 9
2020-08-19, 16, 9, 5, 1, , 9
2020-08-20, 11, 10, 7, 2, , 7
2020-08-21, 11, 9, 5, 1, , 9
2020-08-22, 11, 9, 7, 2, , 9
2020-08-23, 11, 10, 10, 2, , 2
2020-08-24, 12, 9, 7, 2, , 9
2020-08-25, 15, 8, 9, 2, , 9
2020-08-26, 7, 8, 7, 2, , 8
2020-08-27, 9, 8, 9, 2, , 9
2020-08-28, 12, 7, 4, 2, , 7
2020-08-29, 14, 3, , 1, , 3
2020-08-30, 5, , 1, 2, , 5
2020-08-31, 11, 7, 12, 1, , 7
2020-09-01, 11, 4, 10, 1, , 4
2020-09-02, 6, 6, 10, 1, , 6
2020-09-03, 8, 10, 7, 1, , 8
2020-09-04, 13, 7, 13, 2, , 7
2020-09-05, 7, 3, 9, 1, , 9
2020-09-06, 3, 8, 12, 1, , 8
2020-09-07, 11, 5, 11, 1, , 5
2020-09-08, 4, 8, 16, 2, , 8
2020-09-09, 11, 6, 11, 1, , 6
2020-09-10, 8, 6, 11, 1, , 8
2020-09-11, 5, 5, 11, 1, , 5
2020-09-12, 4, 4, 9, 1, , 9
2020-09-13, 2, 5, 12, 2, , 5
2020-09-14, 5, 7, 16, 2, , 7
2020-09-15, 9, 7, 11, 2, , 9
2020-09-16, 15, 12, 13, 2, , 2
2020-09-17, 25, 14, 13, 2, , 25
2020-09-18, 29, 19, 9, 2, , 9
2020-09-19, 44, 10, 8, 2, , 8
2020-09-20, 20, 12, 14, 2, , 20
2020-09-21, 21, 8, 12, 2, , 8
2020-09-22, 9, 17, 12, 1, , 9
2020-09-23, 6, 8, 10, 2, , 8
2020-09-24, 8, 9, 12, 2, , 9
2020-09-25, 13, 5, 9, 2, , 9
2020-09-26, 8, 7, 13, 2, , 8
2020-09-27, 12, 9, 15, 2, , 9
2020-09-28, 8, 7, 16, 2, , 8
2020-09-29, 8, 9, 19, 2, , 9
2020-09-30, 8, 7, 15, 2, , 8
2020-04-01, 75, 14, 4, , , 75
2020-04-02, 40, 28, 4, , , 40
2020-04-03, 83, 50, , 1, , 83
2020-01-01, 76, 7, 9, 2, , 9
2020-01-02, 13, 8, 18, 2, , 8
2020-01-03, 18, 8, 4, 1, , 8
2020-01-04, 29, 12, 7, 2, , 7
2020-01-05, 15, 12, 14, 2, , 2
2020-01-06, 23, 10, 4, 1, , 4
2020-01-07, 14, 18, 10, 1, , 18
2020-01-08, 32, 12, 8, 2, , 8
2020-01-09, 20, 8, 4, 1, , 8
2020-01-10, 8, 13, 11, 2, , 8
2020-01-11, 19, 3, 1, 1, , 3
2020-01-12, 7, 7, 7, 1, , 7
2020-01-13, 12, 10, 3, 1, , 3
2020-01-14, 10, 13, 40, 3, , 40
2020-01-15, 24, 9, 15, 2, , 9
2020-01-16, 12, 12, 38, 2, , 38
2020-01-17, 24, 8, 27, 2, , 8
2020-01-18, 10, 19, 3, 2, , 3
2020-01-19, 36, 15, 6, 2, , 6
2020-01-20, 15, 9, 17, 1, , 9
2020-01-21, 7, 8, 8, 2, , 8
2020-01-22, 15, 54, 4, 1, , 54
2020-01-23, 19, 13, 13, 1, , 19
2020-01-24, 16, 8, 8, 1, , 8
2020-01-25, 11, 5, 3, 2, , 5
2020-01-26, 8, 3, 5, 2, , 8
2020-01-27, 6, 5, 20, 2, , 6
2020-01-28, 14, 7, 35, 5, , 7
2020-01-29, 17, 7, 32, 1, , 7
2020-01-30, 17, 8, 39, 1, , 8
2020-01-31, 18, 5, 26, , , 5
2020-02-01, 13, 3, 14, , , 3
2020-02-02, 9, 7, 28, 1, , 9
2020-02-03, 17, 44, 11, , , 44
2020-02-04, 12, 3, 40, 4, , 40
2020-02-05, 8, 14, 4, 3, , 8
2020-02-06, 27, 9, 2, 2, , 9
2020-02-07, 19, 9, 5, 2, , 9
2020-02-08, 12, 8, 24, 2, , 8
2020-02-09, 18, 5, 3, 1, , 5
2020-02-10, 11, 19, 15, 1, , 19
2020-02-11, 33, 29, 19, 1, , 33
2020-02-12, 53, 10, 2, , , 53
2020-02-13, 49, 2, 1, , , 49
2020-02-14, 17, , , , , 17
2020-02-16, 7, 16, 9, , , 9
2020-02-17, 36, 31, 22, , , 36
2020-02-18, 48, 4, 7, , , 7
2020-02-19, 8, 7, 11, , , 8
2020-02-20, 16, 42, 16, , , 42
2020-02-21, 88, 43, 21, , , 88
2020-02-22, 65, 10, 7, , , 7
2020-02-23, 23, 8, 20, , , 8
2020-02-24, 10, 9, 19, , , 9
2020-02-25, 19, 8, 3, , , 8
2020-02-26, 32, 8, 2, , , 8
2020-02-27, 59, 3, 2, , , 59
2020-02-28, 7, 81, 24, , , 81
2020-02-29, 130, 13, 1, , , 130
2020-03-01, 204, 9, 2, , , 9
2020-03-05, 11, 6, 12, 1, , 6
2020-03-06, 16, 14, 3, , , 3
2020-03-07, 16, 36, 11, , , 36
2020-03-08, 26, 13, 2, , , 26
2020-03-09, 16, 12, 2, , , 2
2020-03-10, 18, 11, 7, , , 7
2020-03-11, 15, 21, 12, , , 21
2020-03-12, 29, 4, 10, , , 4
2020-03-13, 16, 7, 10, , , 7
2020-03-14, 10, 18, 6, , , 6
2020-03-15, 20, 7, 10, , , 7
2020-03-16, 16, 6, 7, 1, , 7
2020-03-17, 17, 4, 4, , , 4
2020-03-18, 9, 12, 8, , , 9
2020-03-19, 20, 4, 2, , , 4
2020-03-20, 14, 5, 5, , , 5
2020-03-26, 11, 14, 5, , , 5
2020-03-27, 12, 24, 8, 1, , 8
2019-10-01, 21, 5, , , , 5
2019-10-02, 11, 4, , , , 4
2019-10-03, 7, 25, , , , 7
2019-10-04, 15, 5, , , , 5
2019-10-05, 9, 13, , , , 9
2019-10-06, 29, 5, , , , 5
2019-10-07, 5, 13, , 2, , 5
2019-10-08, 10, 8, , 1, , 8
2019-10-09, 9, 49, 7, , , 9
2019-10-10, 9, 6, 11, 1, , 9
